FECHA;ID TIME;y
2022-07-01;00:00:00;2
2022-07-01;00:20:00;1
2022-07-01;00:40:00;6
2022-07-01;01:00:00;1
2022-07-01;01:20:00;1
2022-07-01;02:00:00;9
2022-07-01;02:40:00;2
2022-07-01;03:00:00;1
2022-07-01;04:20:00;2
2022-07-01;04:40:00;2
2022-07-01;05:00:00;3
2022-07-01;05:20:00;3
2022-07-01;06:00:00;4
2022-07-01;06:20:00;4
2022-07-01;06:40:00;6
2022-07-01;07:00:00;5
2022-07-01;07:20:00;5
2022-07-01;07:40:00;7
2022-07-01;08:00:00;12
2022-07-01;08:20:00;8
2022-07-01;08:40:00;8
2022-07-01;09:00:00;13
2022-07-01;09:20:00;8
2022-07-01;09:40:00;4
2022-07-01;10:00:00;7
2022-07-01;10:20:00;7
2022-07-01;10:40:00;6
2022-07-01;11:00:00;8
2022-07-01;11:20:00;4
2022-07-01;11:40:00;5
2022-07-01;12:00:00;6
2022-07-01;12:20:00;6
2022-07-01;12:40:00;5
2022-07-01;13:00:00;8
2022-07-01;13:20:00;5
2022-07-01;13:40:00;5
2022-07-01;14:00:00;14
2022-07-01;14:20:00;6
2022-07-01;14:40:00;3
2022-07-01;15:00:00;6
2022-07-01;15:20:00;2
2022-07-01;15:40:00;4
2022-07-01;16:00:00;10
2022-07-01;16:20:00;10
2022-07-01;16:40:00;8
2022-07-01;17:00:00;8
2022-07-01;17:20:00;6
2022-07-01;18:00:00;9
2022-07-01;18:20:00;4
2022-07-01;18:40:00;3
2022-07-01;19:00:00;3
2022-07-01;19:20:00;6
2022-07-01;19:40:00;3
2022-07-01;20:00:00;2
2022-07-01;21:00:00;3
2022-07-01;21:20:00;4
2022-07-01;22:00:00;3
2022-07-01;22:20:00;1
2022-07-01;23:00:00;2
2022-07-02;00:00:00;3
2022-07-02;00:20:00;3
2022-07-02;00:40:00;6
2022-07-02;01:00:00;1
2022-07-02;01:20:00;1
2022-07-02;01:40:00;1
2022-07-02;02:00:00;4
2022-07-02;02:40:00;1
2022-07-02;03:20:00;1
2022-07-02;04:00:00;1
2022-07-02;04:20:00;2
2022-07-02;04:40:00;3
2022-07-02;05:00:00;1
2022-07-02;05:20:00;2
2022-07-02;06:00:00;3
2022-07-02;06:40:00;2
2022-07-02;07:00:00;1
2022-07-02;07:20:00;4
2022-07-02;08:00:00;2
2022-07-02;08:20:00;5
2022-07-02;09:00:00;4
2022-07-02;09:20:00;5
2022-07-02;09:40:00;2
2022-07-02;10:00:00;1
2022-07-02;10:20:00;1
2022-07-02;11:00:00;3
2022-07-02;11:20:00;1
2022-07-02;11:40:00;1
2022-07-02;12:00:00;4
2022-07-02;12:20:00;1
2022-07-02;13:00:00;5
2022-07-02;13:20:00;3
2022-07-02;14:00:00;10
2022-07-02;14:20:00;2
2022-07-02;14:40:00;4
2022-07-02;15:00:00;4
2022-07-02;15:20:00;1
2022-07-02;15:40:00;4
2022-07-02;16:00:00;6
2022-07-02;16:20:00;3
2022-07-02;16:40:00;4
2022-07-02;17:00:00;2
2022-07-02;17:20:00;3
2022-07-02;17:40:00;2
2022-07-02;18:00:00;17
2022-07-02;18:20:00;1
2022-07-02;18:40:00;1
2022-07-02;19:00:00;2
2022-07-02;19:20:00;1
2022-07-02;19:40:00;2
2022-07-02;20:00:00;2
2022-07-02;20:20:00;1
2022-07-02;20:40:00;1
2022-07-02;21:00:00;1
2022-07-02;21:20:00;3
2022-07-02;22:00:00;11
2022-07-03;00:40:00;1
2022-07-03;01:20:00;1
2022-07-03;02:00:00;3
2022-07-03;04:00:00;3
2022-07-03;04:20:00;1
2022-07-03;04:40:00;1
2022-07-03;05:00:00;2
2022-07-03;05:20:00;4
2022-07-03;06:00:00;6
2022-07-03;06:20:00;2
2022-07-03;07:00:00;2
2022-07-03;07:20:00;3
2022-07-03;08:00:00;1
2022-07-03;08:20:00;1
2022-07-03;09:20:00;2
2022-07-03;10:00:00;4
2022-07-03;10:20:00;1
2022-07-03;11:20:00;1
2022-07-03;12:00:00;2
2022-07-03;13:00:00;6
2022-07-03;13:20:00;4
2022-07-03;14:00:00;9
2022-07-03;14:20:00;1
2022-07-03;14:40:00;1
2022-07-03;15:00:00;2
2022-07-03;15:20:00;1
2022-07-03;16:00:00;1
2022-07-03;16:20:00;1
2022-07-03;16:40:00;1
2022-07-03;17:00:00;4
2022-07-03;17:40:00;2
2022-07-03;18:00:00;7
2022-07-03;18:20:00;2
2022-07-03;19:00:00;1
2022-07-03;19:20:00;1
2022-07-03;20:00:00;1
2022-07-03;20:20:00;1
2022-07-03;21:20:00;3
2022-07-03;21:40:00;1
2022-07-03;22:00:00;4
2022-07-03;22:20:00;1
2022-07-03;23:00:00;1
2022-07-03;23:40:00;1
2022-07-04;00:00:00;1
2022-07-04;00:40:00;1
2022-07-04;03:00:00;1
2022-07-04;03:20:00;6
2022-07-04;04:00:00;2
2022-07-04;04:20:00;10
2022-07-04;05:00:00;6
2022-07-04;05:20:00;8
2022-07-04;05:40:00;1
2022-07-04;06:00:00;10
2022-07-04;06:20:00;9
2022-07-04;06:40:00;6
2022-07-04;07:00:00;9
2022-07-04;07:20:00;9
2022-07-04;07:40:00;3
2022-07-04;08:00:00;9
2022-07-04;08:20:00;5
2022-07-04;08:40:00;12
2022-07-04;09:00:00;14
2022-07-04;09:20:00;4
2022-07-04;09:40:00;4
2022-07-04;10:00:00;6
2022-07-04;10:20:00;6
2022-07-04;10:40:00;4
2022-07-04;11:00:00;11
2022-07-04;11:20:00;7
2022-07-04;11:40:00;6
2022-07-04;12:00:00;7
2022-07-04;12:20:00;10
2022-07-04;12:40:00;4
2022-07-04;13:00:00;8
2022-07-04;13:20:00;3
2022-07-04;13:40:00;3
2022-07-04;14:00:00;11
2022-07-04;14:20:00;3
2022-07-04;14:40:00;1
2022-07-04;15:00:00;15
2022-07-04;15:20:00;4
2022-07-04;15:40:00;2
2022-07-04;16:00:00;9
2022-07-04;16:20:00;5
2022-07-04;16:40:00;6
2022-07-04;17:00:00;14
2022-07-04;17:20:00;13
2022-07-04;17:40:00;3
2022-07-04;18:00:00;18
2022-07-04;18:20:00;5
2022-07-04;18:40:00;5
2022-07-04;19:00:00;3
2022-07-04;19:20:00;4
2022-07-04;20:00:00;4
2022-07-04;20:20:00;2
2022-07-04;20:40:00;2
2022-07-04;21:00:00;2
2022-07-04;21:20:00;3
2022-07-04;21:40:00;1
2022-07-04;22:00:00;6
2022-07-04;22:40:00;2
2022-07-04;23:20:00;1
2022-07-05;00:00:00;1
2022-07-05;00:40:00;1
2022-07-05;01:00:00;1
2022-07-05;01:40:00;1
2022-07-05;02:00:00;6
2022-07-05;02:40:00;2
2022-07-05;03:00:00;1
2022-07-05;04:20:00;4
2022-07-05;04:40:00;2
2022-07-05;05:00:00;4
2022-07-05;05:20:00;3
2022-07-05;06:00:00;9
2022-07-05;06:20:00;11
2022-07-05;06:40:00;4
2022-07-05;07:00:00;17
2022-07-05;07:20:00;12
2022-07-05;07:40:00;16
2022-07-05;08:00:00;13
2022-07-05;08:20:00;7
2022-07-05;08:40:00;7
2022-07-05;09:00:00;10
2022-07-05;09:20:00;10
2022-07-05;09:40:00;6
2022-07-05;10:00:00;5
2022-07-05;10:20:00;13
2022-07-05;10:40:00;1
2022-07-05;11:00:00;11
2022-07-05;11:20:00;7
2022-07-05;11:40:00;11
2022-07-05;12:00:00;9
2022-07-05;12:20:00;6
2022-07-05;12:40:00;6
2022-07-05;13:00:00;12
2022-07-05;13:20:00;7
2022-07-05;13:40:00;3
