ds;y
2022-7-11 5:20:0;2
2022-7-11 5:30:0;2
2022-7-11 5:40:0;2
2022-7-11 5:50:0;1
2022-7-11 6:0:0;2
2022-7-11 6:10:0;1
2022-7-11 6:20:0;2
2022-7-11 6:30:0;6
2022-7-11 6:40:0;1
2022-7-11 6:50:0;1
2022-7-11 7:0:0;1
2022-7-11 7:10:0;2
2022-7-11 7:20:0;2
2022-7-11 7:30:0;2
2022-7-11 7:40:0;6
2022-7-11 7:50:0;2
2022-7-11 8:0:0;7
2022-7-11 8:10:0;2
2022-7-11 8:20:0;4
2022-7-11 8:30:0;2
2022-7-11 8:40:0;2
2022-7-11 8:50:0;2
2022-7-11 9:0:0;2
2022-7-11 9:10:0;1
2022-7-11 9:13:0;1
2022-7-11 9:20:0;2
2022-7-11 9:30:0;1
2022-7-11 9:40:0;2
2022-7-11 9:50:0;1
2022-7-12 0:10:0;1
2022-7-12 0:20:0;1
2022-7-12 0:50:0;7
2022-7-12 1:0:0;1
2022-7-12 1:30:0;1
2022-7-12 10:0:0;8
2022-7-12 10:10:0;2
2022-7-12 10:20:0;2
2022-7-12 10:30:0;1
2022-7-12 10:40:0;2
2022-7-12 11:0:0;1
2022-7-12 11:10:0;1
2022-7-12 11:20:0;1
2022-7-12 11:30:0;2
2022-7-12 11:50:0;2
2022-7-12 12:0:0;2
2022-7-12 12:10:0;1
2022-7-12 12:20:0;2
2022-7-12 12:30:0;4
2022-7-12 12:40:0;1
2022-7-12 12:50:0;2
2022-7-12 13:0:0;5
2022-7-12 13:20:0;1
2022-7-12 13:30:0;1
2022-7-12 14:0:0;12
2022-7-12 14:10:0;1
2022-7-12 14:20:0;1
2022-7-12 14:30:0;3
2022-7-12 14:40:0;1
2022-7-12 15:0:0;2
2022-7-12 15:10:0;3
2022-7-12 15:30:0;3
2022-7-12 15:40:0;1
2022-7-12 15:50:0;1
2022-7-12 16:0:0;3
2022-7-12 16:10:0;1
2022-7-12 16:20:0;1
2022-7-12 16:30:0;3
2022-7-12 16:40:0;1
2022-7-12 16:50:0;2
2022-7-12 17:0:0;8
2022-7-12 17:10:0;2
2022-7-12 17:20:0;2
2022-7-12 17:3:0;1
2022-7-12 17:30:0;5
2022-7-12 17:40:0;3
2022-7-12 17:53:0;1
2022-7-12 18:0:0;17
2022-7-12 18:10:0;3
2022-7-12 18:20:0;2
2022-7-12 18:30:0;2
2022-7-12 18:40:0;1
2022-7-12 18:50:0;1
